Sample.Label,Area,Effort,distance,size,Region.Label,month,Time
PC11,140000,4,5.2,1,Default,nov,day
PC11,140000,4,11,3,Default,nov,day
PC11,140000,4,7.2,1,Default,nov,day
PC13,140000,4,28.4,4,Default,nov,day
PC13,140000,4,7.6,1,Default,nov,day
PC13,140000,4,5.8,3,Default,nov,day
PC13,140000,4,5.9,1,Default,nov,day
PC13,140000,4,9.5,2,Default,nov,day
PC13,140000,4,25.8,2,Default,nov,day
PC13,140000,4,12.2,1,Default,nov,day
PC13,140000,4,14.2,4,Default,nov,day
PC14,140000,4,2.5,1,Default,nov,day
PC14,140000,4,2.5,1,Default,nov,day
PC14,140000,4,9.7,3,Default,nov,day
PC14,140000,4,19.8,8,Default,nov,day
PC14,140000,4,13.4,2,Default,nov,day
PC14,140000,4,8.2,4,Default,nov,day
PC14,140000,4,14.6,4,Default,nov,day
PC14,140000,4,11.8,3,Default,nov,day
PC14,140000,4,5.5,3,Default,nov,day
PC14,140000,4,13.2,5,Default,nov,day
PC15,140000,4,0,6,Default,nov,day
PC15,140000,4,34.8,1,Default,nov,day
PC15,140000,4,45.4,9,Default,nov,day
PC15,140000,4,18,5,Default,nov,day
PC15,140000,4,23,4,Default,nov,day
PC16,140000,4,2.7,2,Default,nov,day
PC16,140000,4,3.3,1,Default,nov,day
PC16,140000,4,4.3,1,Default,nov,day
PC16,140000,4,10.1,3,Default,nov,day
PC16,140000,4,9.4,3,Default,nov,day
PC16,140000,4,10.3,6,Default,nov,day
PC16,140000,4,13,1,Default,nov,day
PC16,140000,4,5,1,Default,nov,day
PC16,140000,4,4,1,Default,nov,day
PC16,140000,4,16.2,8,Default,nov,day
PC16,140000,4,19.1,1,Default,nov,day
PC16,140000,4,28.8,2,Default,nov,day
PC16,140000,4,10,2,Default,nov,day
PC16,140000,4,6.6,1,Default,nov,day
PC16,140000,4,22.4,1,Default,nov,day
PC16,140000,4,32.8,3,Default,nov,day
PC16,140000,4,5,1,Default,nov,day
PC16,140000,4,16.2,3,Default,nov,day
PC16,140000,4,19.9,1,Default,nov,day
PC01,140000,4,0,5,Default,nov,day
