Sample.Label,Area,Effort,distance,size,Region.Label,month,Time
PC08,140000,4,9.9,1,Default,nov,night
PC08,140000,4,2.8,1,Default,nov,night
PC08,140000,4,24.7,1,Default,nov,night
PC08,140000,4,23.7,4,Default,nov,night
PC09,140000,4,11.6,2,Default,nov,night
PC09,140000,4,11.5,2,Default,nov,night
PC09,140000,4,18.1,1,Default,nov,night
PC09,140000,4,14.8,2,Default,nov,night
PC09,140000,4,9.4,3,Default,nov,night
PC09,140000,4,6.7,1,Default,nov,night
PC09,140000,4,19.5,3,Default,nov,night
PC10,140000,4,2.4,4,Default,nov,night
PC10,140000,4,6.5,5,Default,nov,night
PC10,140000,4,9.9,3,Default,nov,night
PC10,140000,4,17.4,6,Default,nov,night
PC10,140000,4,4.9,5,Default,nov,night
PC10,140000,4,15.7,3,Default,nov,night
PC10,140000,4,7.6,8,Default,nov,night
PC10,140000,4,10.4,2,Default,nov,night
PC10,140000,4,9.9,1,Default,nov,night
PC10,140000,4,6.8,4,Default,nov,night
PC10,140000,4,11.7,6,Default,nov,night
PC10,140000,4,5.2,6,Default,nov,night
PC10,140000,4,0,4,Default,nov,night
PC11,140000,4,5.4,1,Default,nov,night
PC11,140000,4,4.4,1,Default,nov,night
PC11,140000,4,6.6,1,Default,nov,night
PC11,140000,4,5.1,2,Default,nov,night
PC11,140000,4,5.3,1,Default,nov,night
PC11,140000,4,4.8,1,Default,nov,night
PC11,140000,4,10.7,1,Default,nov,night
PC11,140000,4,7.7,1,Default,nov,night
PC11,140000,4,9.4,1,Default,nov,night
PC11,140000,4,20,1,Default,nov,night
PC11,140000,4,21.7,1,Default,nov,night
PC11,140000,4,6.4,1,Default,nov,night
PC11,140000,4,10.9,1,Default,nov,night
PC11,140000,4,6.4,1,Default,nov,night
PC11,140000,4,7,1,Default,nov,night
PC11,140000,4,6.6,2,Default,nov,night
PC11,140000,4,6.1,1,Default,nov,night
PC11,140000,4,7.9,1,Default,nov,night
PC11,140000,4,9.3,1,Default,nov,night
PC11,140000,4,5,1,Default,nov,night
PC13,140000,4,9.6,2,Default,nov,night
PC13,140000,4,15.2,3,Default,nov,night
PC13,140000,4,13,1,Default,nov,night
PC13,140000,4,13.1,1,Default,nov,night
PC13,140000,4,9.4,3,Default,nov,night
PC13,140000,4,11.7,2,Default,nov,night
PC13,140000,4,16,1,Default,nov,night
PC13,140000,4,10,1,Default,nov,night
PC13,140000,4,8.2,4,Default,nov,night
PC13,140000,4,10.7,1,Default,nov,night
PC13,140000,4,15,4,Default,nov,night
PC13,140000,4,14,1,Default,nov,night
PC13,140000,4,16.2,3,Default,nov,night
PC13,140000,4,13,1,Default,nov,night
PC14,140000,4,1,1,Default,nov,night
PC14,140000,4,2.1,2,Default,nov,night
PC14,140000,4,4.5,3,Default,nov,night
PC14,140000,4,4.8,3,Default,nov,night
PC14,140000,4,8,4,Default,nov,night
PC14,140000,4,8.5,1,Default,nov,night
PC14,140000,4,11,4,Default,nov,night
PC14,140000,4,5.5,2,Default,nov,night
PC14,140000,4,2.8,1,Default,nov,night
PC14,140000,4,11,4,Default,nov,night
PC14,140000,4,12,4,Default,nov,night
PC14,140000,4,13.3,2,Default,nov,night
PC14,140000,4,2.8,1,Default,nov,night
PC14,140000,4,12.8,1,Default,nov,night
PC14,140000,4,21,3,Default,nov,night
PC15,140000,4,0,2,Default,nov,night
PC15,140000,4,3,4,Default,nov,night
PC15,140000,4,5.5,1,Default,nov,night
PC15,140000,4,19.7,5,Default,nov,night
PC15,140000,4,21.1,4,Default,nov,night
PC16,140000,4,3,1,Default,nov,night
PC16,140000,4,4.3,1,Default,nov,night
PC16,140000,4,9.8,3,Default,nov,night
