Time Code,Analysis,Identifier 1,Wt of sample,Peak 28  (V),d15N ,Wt  %N,GG Hatch atm %,Trail Id,Code,Sample,Mass,Site,Label,N,W,Zone,W-,LAT,LON
,,,,,5.6,,,,Este5,Croton,,ESTE,leaves,18¡ 06.453',67¡ 50.910',,-67¡ 50.910',18.10754897,-67.84849497
6/12/19 12:52,1739,C12,0.48,949,9.2,2.1,0.3697,C12,Faro1,Croton,0.48,FARO,leaves,18¡ 05.233',67¡ 50.679',Coast,-67¡ 50.679',18.0872107,-67.84465782
6/12/19 13:01,1740,D1,0.59,1162,6.4,2.1,0.3686,D1,Faro2,Croton,0.59,FARO,leaves,18¡ 05.231',67¡ 50.668',Coast,-67¡ 50.668',18.08717709,-67.844459
6/12/19 13:09,1741,D2,0.49,1007,6.7,2.2,0.3687,D2,Faro4,Croton,0.49,FARO,leaves,18¡ 05.224',67¡ 50.717',Coast,-67¡ 50.717',18.08706896,-67.84529099
,,,,,6.3,,,,Faro5,croton,,FARO,leaves,18¡ 05.280',67¡ 50.645',,-67¡ 50.645',18.08800598,-67.84407503
6/11/19 12:51,1651,E4,0.51,993,5.6,2.1,0.3683,E4,LoMo1,Croton,0.51,LOMO,leaves,18¡ 06.303',67¡ 52.439',Interior,-67¡ 52.439',18.10504697,-67.87397596
6/11/19 12:59,1652,E5,0.65,978,4,1.6,0.3678,E5,LoMo2,Croton,0.65,LOMO,leaves,18¡ 06.308',67¡ 52.434',Interior,-67¡ 52.434',18.10513297,-67.87389399
6/11/19 13:08,1653,E6,0.54,1004,9.5,2,0.3698,E6,LoMo3,Croton,0.54,LOMO,leaves,18¡ 06.292',67¡ 52.433',Interior,-67¡ 52.433',18.10485897,-67.87388301
,,,,,5.6,,,,Lomo5,Croton,,LOMO,leaves,18¡ 06.408',67¡ 52.444',,-67¡ 52.444',18.10680457,-67.87406581
6/13/19 0:41,1790,A8,0.58,1239,7.4,2.4,0.369,A8,MK081,CROTON,0.58,MK8,leaves,18¡ 06.764',67¡ 53.053',Coast,-67¡ 53.053',18.11273,-67.884223
